fake_acctcode,segment,refresh_month,opt_in_date,fuel_only_parent_acct,cli_amount,fleetcor_open_datex,cityx,statex,zipx,term_daysx,due_daysx,lock_daysx,credit_limitx,lock_codex,lock_reasonx,lock_typex,deposit_flagx,portfolio,lob_reportingx,fleetcor_open_datey,cityy,statey,zipy,term_daysy,due_daysy,lock_daysy,credit_limity,lock_codey,lock_reasony,lock_typey,deposit_flagy,porfolio,lob_reportingy,snapshot_date,current_balance,unbilled_balance,days_past_due,bal_1_30,bal_31_60,bal_61_90,bal_90_plus,yearmonthx,ccs_grade,paydex,yearmonthy,nsf_amount,nsf_pmts,yearmonthxx,payment_amount,no_of_payment,yearmonthyy,credit_limitxx,fuel_net_rev,nonfuel_net_rev,net_fee_rev,tot_net_rev,yearmonthxxx,credit_limityy,gallons,fuel_spend,nonfuel_spend,tot_spend,quarter_refreshed,vantage_score,yearmonthyyy,wo_amount
189677,54,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,11-12-2020 11:50,HOLLYWOOD,FL,33021,30,15,10,900,M,BAD AGENCY,PERM LOCK,1,BP,NAP,01-10-2022,0,0,159,0,75,75,533.48,202210,X,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,2022Q3,635,202212,683.48
198764,55,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,28-06-2021 15:52,GLENDALE,WI,53209,30,10,6,600,M,COLLECT,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,1315.45,0,0,0,0,0,202212,C1,0,Unknown,0,0,202210,1674.32,1,202210,600,184,0,281.0426,465.0426,202210,600,36.954,176.85,0,176.85,2022Q3,492,202304,1191.02
214522,14,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,18-01-2022 15:44,HUNTLEY,IL,60142,7,10,3,9800,M,AGENCY REV,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,1391.38,0,0,0,0,0,202210,B,80,Unknown,0,0,202210,12968.42,3,202210,9800,604.84,0,685.59,1290.43,202210,9800,2770.541,14625.28,0,14625.28,2022Q4,0,Unknown,0
182368,43,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,10-05-2019 11:27,ROSEVILLE,CA,95747,30,14,7,4800,U,Unknown,UNLOCKED,0,ARCO,NAP,01-10-2022,0,2304.78,0,0,0,0,0,202210,B,75,Unknown,0,0,202210,1298.95,2,202210,4800,1.53,0,26.54,28.07,202210,4800,296.227,1725.32,0,1725.32,2022Q3,686,Unknown,0
150179,24,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,21-07-2022 08:11,DULUTH,GA,30096,7,7,18,800,Z,UNLOCKED,UNLOCKED,0,BPMC,NAP,01-10-2022,133.24,0,0,0,0,0,0,202210,X,0,Unknown,0,0,202210,133.24,1,202210,800,0,0,85,85,202212,800,12.416,34.75,0,34.75,2022Q4,0,Unknown,0
186218,0,Unknown,03-09-2021,FUEL-ONLY PARENT ACCT,0,06-03-2020 11:55,SACRAMENTO,CA,95835,14,10,9,600,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,NA,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
315515,26,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,11-01-2018 22:11,Suffern,NY,10901,30,6,10,3600,Y,UNLOCKED,UNLOCKED,0,UNMC,NAL MC,01-10-2022,0,65.89,0,0,0,0,0,202210,A,80,Unknown,0,0,Unknown,0,0,202210,3600,4.67,0,5,9.67,202210,3600,57.86,208.74,0,208.74,2022Q3,0,Unknown,0
196890,33,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,27-05-2021 10:35,FAYETTEVILLE,GA,30214,14,10,7,0,M,NSF,TEMP LOCK,0,Fuelman,Fuelman,01-10-2022,0,0,0,0,0,0,0,202210,F,11,Unknown,0,0,202211,42.81,1,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
174613,10,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,10-03-2017 11:20,JOHNSTON,RI,2919,14,10,10,37500,M,CLOSED,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,24.71,0,0,0,0,0,202210,B,79,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
214659,58,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,19-01-2022 15:41,MISSOURI CITY,TX,77459,30,10,10,1100,M,COLLECT,PERM LOCK,0,Fuelman,Fuelman,01-10-2022,0,207.84,15,482.96,0,0,0,202210,X,0,202306,411.67,1,202210,335.02,1,202210,1100,21,0,107.5,128.5,202210,1100,108.268,337.15,0,337.15,2022Q4,0,202309,889.01
264359,3,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,01-12-2010 15:01,MONTGOMERY,AL,36109,30,15,18,22680,A,Other,PERM LOCK,0,BPMC,NAP,01-10-2022,5642.69,217.24,0,0,0,0,0,202212,B,63,Unknown,0,0,202210,5642.69,1,202210,22680,55.59199015,0,0,55.59199015,202210,22680,1631.837,5977.57,0,5977.57,2022Q3,0,Unknown,0
186336,42,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,13-03-2020 10:40,GRASS LAKE,MI,49240,30,21,10,9800,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,01-10-2022,1587.6,150.03,0,0,0,0,0,202212,B,74,Unknown,0,0,202211,3531.24,1,202210,9800,49.41,0,520.82,570.23,202210,9800,218.218,1134.21,0,1134.21,2022Q3,0,Unknown,0
291673,9,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,30-12-2011 12:02,Adrian,MI,49221,15,11,18,154000,Y,UNLOCKED,UNLOCKED,0,UNMC,NAL MC,01-10-2022,0,59053.68,0,0,0,0,0,202210,A,77,Unknown,0,0,Unknown,0,0,202210,154000,2048.45,60.26,0,2108.71,202210,154000,25814.51,114161.91,2082.72,116244.63,2022Q3,0,Unknown,0
